text,created_at,id,username,retweet_count,like_count,source
"Indonesia telah mendatangkan 93,7 juta dosis vaksin dari Sinovac, AstraZeneca, dan Sinopharm. Ketiga jenis vaksin ini telah masuk ke dalam emergency use listing oleh WHO. 

Kita semua masih harus bekerja keras mengakhiri pandemi ini. Setiap kita menjadi bagian dari solusi.",2021-06-11 03:50:07,1403197831070949378,jokowi,81,749,Twitter for Android
"Kesenjangan distribusi dan vaksinasi Covid-19 di seluruh dunia masih sangat besar. 

Dari 2,2 miliar dosis vaksin yang telah disuntikkan, 75% berada di 10 negara maju dan hanya 0,4 persen di negara-negara berpenghasilan rendah.",2021-06-11 03:50:07,1403197829376397314,jokowi,69,719,Twitter for Android
"Pandemi Covid-19 masih jauh dari selesai. Hingga saat ini, hampir 175 juta orang di seluruh dunia telah terinfeksi dan lebih 3,7 juta meninggal.  

Kita masih harus waspada dan bekerja keras mengatasi pandemi ini, termasuk melalui vaksinasi dan pelaksanaan protokol kesehatan. https://t.co/0ps0sr33Ci",2021-06-11 03:50:06,1403197827065413634,jokowi,272,2374,Twitter for Android
"Hari ini, bersama Ibu Negara, saya hendak berkunjung ke Jawa Tengah. 

Dengan Pesawat Khusus ATR 72-600, saya akan mendarat di Bandara Soedirman, Kab. Purbalingga, sekaligus meninjau perkembangan pembangunan bandara yang baru beroperasi 1 Juni lalu itu. https://t.co/IdCy2IjEUV",2021-06-11 03:46:22,1403196884588449797,jokowi,337,3438,Twitter for Android
"Saya meninjau vaksinasi massal di sekitar Jakarta pagi ini, yakni Terminal Kampung Rambutan, Pelabuhan Tanjung Priok, dan Pelabuhan Sunda Kelapa. 

Tiga lokasi yang saya kunjungi ini adalah pusat layanan transportasi darat dan laut dengan tingkat interaksi masyarakat yang tinggi. https://t.co/tpsURbqdWJ",2021-06-10 07:53:38,1402896726055264257,jokowi,369,3574,Twitter for Android
"Dari Depok, Jawa Barat, saya meninjau vaksinasi Covid-19 massal lainnya yang digelar di Sport Center Kelapa Dua, Kab. Tangerang. 

Vaksinasi untuk sekitar 10.000 warga masyarakat umum, dari lansia, pralansia, sampai tenaga pendidik ini saya lihat berjalan dengan rapi dan baik. https://t.co/pL9xayb488",2021-06-09 07:44:35,1402532060460326916,jokowi,297,2596,Twitter for Android
Saya telah meminta dilakukannya percepatan pelaksanaan vaksinasi massal di Indonesia agar pada bulan Juni ini bisa sampai 700.000 penyuntikan dosis vaksin per harinya dan 1.000.000 dosis per hari untuk bulan Juli nanti.,2021-06-09 06:55:35,1402519727797202947,jokowi,100,902,Twitter for Android
"Vaksinasi massal Covid-19 digelar di RS Universitas Indonesia, Depok, hari ini bagi warga lanjut usia, pelayan publik, tenaga kependidikan, dan pengemudi ojek online dan pangkalan.

RSUI juga melayani vaksinasi secara drive thru bagi pelayan publik dan pengemudi ojek. https://t.co/1CCd2FR5Pb",2021-06-09 06:55:34,1402519722998996994,jokowi,299,2713,Twitter for Android
"Sejumlah stasiun LRT Jabodebek akan terintegrasi dengan moda transportasi lain seperti trans-Jakarta, commuter line, MRT, hingga kereta cepat Jakarta-Bandung.",2021-06-09 06:07:08,1402507536620609537,jokowi,113,986,Twitter for Android
"LRT Jabodebek dibangun dalam dua fase. Fase pertama sepanjang 44,43km melayani 18 titik pemberhentian pada tiga lintas pelayanan, yakni Cawang-Cibubur, Cawang-Dukuh Atas, dan Cawang-Bekasi Timur. LRT juga akan beroperasi di dua rute perjalanan, yakni Cibubur Line dan Bekasi Line.",2021-06-09 06:07:08,1402507534972297223,jokowi,113,1050,Twitter for Android
"Saya menjajal LRT Jabodebek dari Stasiun TMII ke Stasiun Harjamukti Cibubur pagi ini dengan antusias. Kereta LRT ini meluncur mulus, nyaman, nyaris tanpa suara. 

Pembangunannya sudah hampir 85%. Saya berharap, di bulan April 2022 sudah diuji coba dan beroperasi pada Juni 2022. https://t.co/eKQL2EL86S",2021-06-09 06:07:07,1402507532866768901,jokowi,781,5801,Twitter for Android
"Pancasila kini menghadapi tantangan globalisasi. Berbagai kemudahan berinteraksi lintas negara bisa digunakan oleh ideologi-ideologi trans-nasional radikal untuk merambah ke seluruh pelosok Indonesia. 

Mari memperkokoh nilai-nilai Pancasila dalam mewujudkan Indonesia Maju.",2021-06-01 04:22:11,1399582020884320259,jokowi,196,1622,Twitter for Android
"Upacara Peringatan Hari Lahir Pancasila 2021 digelar pagi ini secara virtual. Perangkat upacara menjalankan tugas dari lokasi masing-masing. 

Sebagaimana upacara ini, pendalaman nilai-nilai Pancasila hendaknya juga dilakukan dengan cara-cara baru dan memanfaatkan teknologi. https://t.co/OnA67rFdpZ",2021-06-01 04:22:10,1399582018615140358,jokowi,728,6027,Twitter for Android
"Bangsa yang besar ini telah melayari pelbagai zaman dengan berpedoman kepada nilai-nilai yang terkandung dalam Pancasila. 

Berpegangan pada nilai-nilai itu pula, dengan persatuan dan gotong royong, kita akan kembali melewati masa-masa sulit ini, dan keluar sebagai pemenangnya. https://t.co/LCHHqHuIW8",2021-06-01 01:03:03,1399531909483429888,jokowi,2171,11124,Twitter for Android
"Indonesia sudah mempunyai 75,9 juta dosis vaksin Covid-19 dalam bentuk jadi. Jumlah itu cukup untuk 37,5 juta orang.

Sejauh ini, program vaksinasi pemerintah telah mencapai 26,9 juta dosis, 16,3 juta di antaranya menerima vaksinasi dosis pertama dan 10,6 juta jiwa dosis kedua. https://t.co/b2qY8I8Srm",2021-05-31 11:24:07,1399325814349459459,jokowi,551,4198,Twitter for Android
"Rakyat menunggu hasil dari program yang dijalankan pemerintah serta manfaat dari setiap rupiah yang dibelanjakan pemerintah. 

Maka, pengawasan yang dilakukan juga harus menjamin sejak awal pelaksanaan bahwa tidak ada serupiah pun yang disalahgunakan.",2021-05-27 05:24:32,1397785774481756162,jokowi,168,1680,Twitter for Android
"Tahun 2021 ini adalah tahun percepatan pemulihan ekonomi nasional. Pada kuartal pertama, pertumbuhan ekonomi Indonesia minus 0,74%. Kuartal kedua, target  pemerintah kurang lebih 7%. 

Untuk itu, pemerintah menyiapkan dana pemulihan ekonomi nasional sebesar hampir Rp700 triliun. https://t.co/oWlGLqMv6e",2021-05-27 05:24:32,1397785772527263744,jokowi,777,6629,Twitter for Android
"Untuk saudara-saudaraku umat Buddha, Tri Suci Waisak  tiba saat dunia masih dicengkeram pandemi. Tapi kita semua percaya, selalu akan ada cahaya terang sesudah kegelapan, selalu ada kemudahan yang datang setelah kesulitan.

Semoga kedamaian dan ketenangan senantiasa bersama kita. https://t.co/BCaonMC0DX",2021-05-26 01:01:44,1397357248469299206,jokowi,1269,7995,Twitter for Android
"Hari ini, Bapak Ganip Warsito secara resmi menjadi Kepala Badan Nasional Penanggulangan Bencana (BNPB) menggantikan Bapak Doni Monardo yang memasuki masa pensiun. Sebelum menjadi Kepala BNPB, Pak Ganib adalah Kepala Staf Umum TNI. 

Selamat bekerja. https://t.co/J0fDLzLAeo",2021-05-25 06:57:09,1397084306489630722,jokowi,286,2731,Twitter for Android
Selamat bekerja Bapak Sugianto Sabran dan Bapak Edy Pratowo sebagai Gubernur dan Wakil Gubernur Kalimantan Tengah masa jabatan tahun 2021-2024. https://t.co/G5kPryt3wA,2021-05-25 06:54:45,1397083702501339137,jokowi,360,4705,Twitter for Android
"Indonesia telah mendatangkan 83,9 juta dosis vaksin dari Sinovac, AstraZeneca, dan Sinopharm. 

Hari ini, sebanyak 8 juta dosis bahan baku vaksin Sinovac kembali tiba di Indonesia dengan pesawat Garuda. Ini merupakan kedatangan vaksin Covid-19 ke-13 sejak 6 Desember 2020.",2021-05-25 05:45:19,1397066225415385089,jokowi,106,948,Twitter for Android
"Vaksinasi Gotong Royong menggunakan vaksin Sinopharm yang akan mempercepat terbangunnya kekebalan komunal di Indonesia. 

Bersama dengan program vaksinasi massal oleh pemerintah, saya berharap program vaksinasi nasional dapat mencapai angka satu juta suntikan per hari.",2021-05-25 05:45:18,1397066222106144768,jokowi,101,956,Twitter for Android
"Saya menyambut baik dukungan Kadin terhadap program vaksinasi nasional dengan vaksinasi gratis bagi karyawan swasta. 

Sejak 18 Mei, 21.616 dosis vaksin Gotong Royong telah diberikan kepada pekerja 27 perusahaan di Jakarta, Jawa Barat, Banten, Kepulauan Riau, dan Maluku Utara. https://t.co/6VEGQewOk2",2021-05-25 05:45:17,1397066217630826496,jokowi,293,2515,Twitter for Android
"Negara-negara G-20 harus memberikan dukungan bagi peningkatan produksi dan kesetaraan akses vaksin bagi semua negara.

Selain itu, G-20 juga harus ikut membangun arsitektur ketahanan kesehatan global yang kokoh untuk dapat menghadapi ancaman serupa di masa mendatang.",2021-05-22 02:41:33,1395932817553461255,jokowi,124,1291,Twitter for Android
"Di saat beberapa negara mulai melakukan vaksinasi bagi kelompok berisiko rendah, hanya 0,3% pasokan vaksin global yang tersedia bagi negara berpenghasilan rendah. Lalu 83% pasokan vaksin global diterima negara kaya, sisanya untuk negara berkembang yang dihuni 47% populasi dunia.",2021-05-22 02:41:33,1395932815934455811,jokowi,134,1406,Twitter for Android
