nama_hotel,alamat_hotel,jenis_kamar,total_kamar_tersedia
Hotel Unisi Yogyakarta Syariah,"<span itemprop=""address"">Jl. Pasar Kembang No.42, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",8,8
RedDoorz near Sleman City Hall 2,"<span itemprop=""address"">Jl. Gito Gati No.1, Penggung, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",3,3
Grand Serela Yogyakarta by KAGUM Hotels,"<span itemprop=""address"">Jl. Magelang KM.4 No.145, Yogyakarta, Indonesia</span>",16,16
D'Paragon Pelem Kecut,"<span itemprop=""address"">Jl. Gejayan Pelem Kecut No. 37, Karang Gayam, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",2,8
D'Kaliurang Resort & Convention,"<span itemprop=""address"">Jl. Boyong Kaliurang Barat, Bojong, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",6,6
RedDoorz @ Plemburan Jakal 2,"<span itemprop=""address"">Jl. Kayen Raya, Kayen, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",4,4
Whiz Hotel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Dagen No.8, Malioboro, Yogyakarta</span>",14,42
RedDoorz near Pojok Beteng Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman 3 No.468, Brontokusuman, Kota Gede, Yogyakarta, Indonesia</span>",30,90
SM Exclusive,"<span itemprop=""address"">Jl. Anggajaya 2 No.110 A, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",1,4
Sans Hotel Ekkon Yogyakarta,"<span itemprop=""address"">Jl. Hos Cokroaminoto, Cokro Square Kav 0, Wirobrajan, Yogyakarta, Indonesia</span>",9,9
Premier Exclusive,"<span itemprop=""address"">Perum Gedong Kuning Asri No. 4, Rejowinangun, Kota Gede, Yogyakarta, Indonesia</span>",1,2
RedDoorz @ Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman 1 No. 10, Prawirotaman, Mergangsan, Yogyakarta, Indonesia</span>",9,9
Nueve Malioboro Hotel Yogyakarta,"<span itemprop=""address"">Jl. Mataram No.9, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213</span>",4,4
KJ Hotel Yogyakarta,"<span itemprop=""address"">Jl. Parangtritis No.120, Mantrijeron, Yogyakarta, Indonesia</span>",5,10
Kombokarno Hotel Malioboro,"<span itemprop=""address"">Jl. Dagen No. 39, Sosromenduran, Gedongtengen, Yogyakarta, DI Yogyakarta, Indonesia</span>",38,38
RedDoorz near Malioboro Mall 2,"<span itemprop=""address"">Jl. Mataram No.41, Suryatmajan, Danurejan, Kota Yogyakarta</span>",4,4
Uniq Hotel,"<span itemprop=""address"">Jl. Magelang No.61, Kricak, Tegalrejo, Yogyakarta, Indonesia</span>",11,44
Hotel di Jogja,,0,0
KoolKost Male Syariah near Pascasarjana UGM,"<span itemprop=""address"">Pandega Marta No 2 B, Jl. Kaliurang km 6, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",1,1
D'Paragon Pogung F,"<span itemprop=""address"">Jl. Pogung Raya No. 38, Pogung Lor, Sinduadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",2,2
RedDoorz near Terminal Condong Catur 2,"<span itemprop=""address"">Jl. Rajawali No.35, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",7,7
RedDoorz Plus @ Rumah Kandjani,"<span itemprop=""address"">Jalan Pandean 1, No. 46B, Condong Catur, Depok, Yogyakarta, Depok, Yogyakarta, D.I. Yogyakarta, Indonesia, 55283</span>",4,4
Pose In Hotel Yogyakarta,"<span itemprop=""address"">Jl. Mayjend Sutoyo No.62, Mantrijeron, Yogyakarta, Indonesia</span>",4,12
RedDoorz Plus @ Hotel Asih UNY,"<span itemprop=""address"">Jalan Colombo No.4, Samirono, Caturtunggal, Kab. Sleman, DI Yogyakarta</span>",8,8
RedDoorz near AMIKOM Yogyakarta,"<span itemprop=""address"">Jl. Candi Gebang No.27, Wedomartani, Sleman, Yogyakarta, Indonesia</span>",16,16
RedDoorz @ Turangga Sari,"<span itemprop=""address"">Komplek Turangga Sari Blok III No.20, Condong Catur, Depok, Sleman, Yogyakarta, Indonesia</span>",5,10
D'Paragon Beo,"<span itemprop=""address"">Jl. Beo No. 43 Mrican, Caturtunggal, Depok, Sleman, Yogyakarta, DI Yogyakarta, Indonesia</span>",2,4
RedDoorz Plus near Lempuyangan Station 4,"<span itemprop=""address"">Jl. Teratai No.19, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",12,24
RedDoorz near UMY Yogyakarta,"<span itemprop=""address"">Jl. Ring Road Selatan No.121, Gamping Kidul, Ambarketawang, Gamping, Sleman, Yogyakarta, Indonesia</span>",4,4
RedDoorz near XT Square Yogyakarta,"<span itemprop=""address"">Jl. Nitikan Baru No.30, Sorosutan, Umbulharjo, Yogyakarta, Indonesia</span>",10,20
D'Paragon Seturan 3,"<span itemprop=""address"">Jl. Raya Seturan, RT.04/RW.02, Ngropoh, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",2,4
Hotel Indah Palace Yogyakarta,"<span itemprop=""address"">Jl. Sisingamangaraja No. 74, Yogyakarta, Jawa Tengah, Indonesia</span>",5,20
RedDoorz near Tugu Yogyakarta,"<span itemprop=""address"">Jl. Pakuningratan No.1, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",8,8
RedDoorz Plus @ Terban Residence,"<span itemprop=""address""> Jl. C. Simanjuntak No.7, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta </span>",6,6
RedDoorz Syariah near Galeria Mall Yogyakarta,"<span itemprop=""address"">Resonegaran GK V/1347 RT.56 RW.12 Terban Gondokusuman Yogyakarta</span>",7,28
D'Paragon Cerry,"<span itemprop=""address"">Jl. Sukoharjo (Anggajaya l) Gg. Cherry No. 128C Condong Catur, Depok, Sleman, Yogyakarta, DI Yogyakarta, Indonesia</span>",0,0
RedDoorz Plus near Alun Alun Selatan,"<span itemprop=""address"">Jl. Parangtritis No.42, Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",6,6
RedDoorz near Jogja Kembali Monument 3,"<span itemprop=""address"">Jl. Ring Road Utara No. 9, Yogyakarta</span>",3,3
RedDoorz Plus @ Demangan Gejayan,"<span itemprop=""address"">Jl. Cenderawasih No.7, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",8,32
RedDoorz Syariah Plus @ Jakal Bawah 3,"<span itemprop=""address"">Jalan Sulawesi II No 7, Purwosari, SInduadi, Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",12,36
Bobobox Pods Malioboro,"<span itemprop=""address"">Jl. Malioboro No.39, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",2,2
RedDoorz near Sindu Kusuma Edupark 3,"<span itemprop=""address"">Jalan Semboja, Trihanggo, Kecamatan Gamping, Sleman, DI Yogyakarta</span>",6,6
RedDoorz Syariah near Titik Nol Yogyakarta,"<span itemprop=""address"">Serangan NG II / 202 B, RT. 09 / 02, Notoprajan, Ngampilan, DI Yogyakarta</span>",10,40
Woodpecker Hotel,"<span itemprop=""address"">Jl. Kenari No.2 Mrican, Demangan Baru, Yogyakarta, Indonesia</span>",2,6
RedDoorz near Gejayan 3,"<span itemprop=""address"">Jl. Wulung III No.21, Papringan, Demangan Baru, Ds. Caturtunggal, Kec. Depok, Kab. Sleman, DI Yogyakarta, Indonesia</span>",7,7
favehotel Kusumanegara,"<span itemprop=""address"">Jl. Kusumanegara No.91, Umbulharjo, Yogyakarta, Indonesia</span>",2,2
Nirvana Inn Jembatan Merah,"<span itemprop=""address"">Jl. Jembatan Merah No. 104D, Prayan Kulon, Depok, Sleman, Yogyakarta, Indonesia</span>",4,8
RedDoorz Plus near Jogja Kembali Monument,"<span itemprop=""address"">Jl. Raya Monjali No.42, Sinduadi, Mlati, Sleman, Palagan, Yogyakarta, Indonesia</span>",4,4
Hotel di Jogja,,0,0
