nama_hotel,alamat_hotel,jenis_kamar,total_kamar_tersedia
Prime Cailendra Hotel,"<span itemprop=""address"">Jl. Taman Siswa No.91, Yogyakarta, Indonesia</span>",9,9
De Gadri Ndalem Yogyakarta,"<span itemprop=""address"">Jl. Ring Road Selatan No.320, Ngrame, Tamantirto, Kasihan, Bantul, Daerah Istimewa Yogyakarta, Indonesia</span>",4,4
Student Park Hotel,"<span itemprop=""address"">Jl. Seturan Raya No.1 Seturan Catur Tunggal Depok Sleman, Depok, Seturan, Yogyakarta, Indonesia</span>",4,12
Grand Ambarrukmo,"<span itemprop=""address"">Jl. Adisucipto No. 82, Yogyakarta, Indonesia</span>",9,9
Casa Coco Resort,"<span itemprop=""address"">Jl. Pantai Selatan Jawa No.18A, Pule Gundes II, Sidoharjo, Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta, Indonesia</span>",6,6
Rivisha Hotel Yogyakarta,"<span itemprop=""address"">Jl. Manggis No. 6, Nologaten, Condongcatur,  Depok, Sleman, Yogyakarta, Indonesia</span>",2,8
Zest Hotel Yogyakarta,"<span itemprop=""address"">Jl Gajah Mada No 28, Yogyakarta</span>",2,2
Crystal Lotus Hotel Yogyakarta,"<span itemprop=""address"">Jl. Magelang KM 5.2, Mlati, Sinduadi, Sleman, Yogyakarta.</span>",4,12
Bueno Colombo Hotel,"<span itemprop=""address"">Jl. Raya Yogya Solo Km 14, Kalasan, Yogyakarta, Indonesia</span>",10,10
eL Hotel Royale Yogyakarta Malioboro,"<span itemprop=""address"">Jl. Dagen No.06, Malioboro, Daerah Istimewa Yogyakarta, Indonesia</span>",26,26
OYO 1277 Pondok Damai Syariah,"<span itemprop=""address"">Jl.Kaliurang Km13,5 , nganggrung, Besi, Sukoharjo, Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia, Yogyakarta</span>",12,12
The Cabin Apartment Uttara,"<span itemprop=""address"">Jl. Kaliurang KM 5 No. 72 (Uttara The Icon Apartment), Depok, Yogyakarta, Yogyakarta Province, Indonesia</span>",3,6
Royal Darmo Malioboro Hotel,"<span itemprop=""address"">Jl. Kemetiran Kidul No. 54, Gedong Tengen, Yogyakarta, Indonesia</span>",4,12
Amaris Hotel Sagan - Yogyakarta,"<span itemprop=""address"">Jl. Prof. Dr. Herman Yohanes No.16, Sagan, Yogyakarta, Indonesia</span>",6,6
Yellow Star Gejayan Hotel,"<span itemprop=""address"">Jl. Gejayan 27A Sleman, Yogyakarta, Indonesia</span>",5,5
Lynn Yogyakarta by Horison,"<span itemprop=""address"">Jl. Jogokaryan No.82, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143</span>",6,6
The Alana Yogyakarta Hotel & Convention Center,"<span itemprop=""address"">Mataram City  - Jalan Palagan Tentara Pelajar Km. 7, Ngaglik, Yogyakarta, Provinsi Yogyakarta, Indonesia, 55581</span>",5,5
Premier Guest House Jogja,"<span itemprop=""address"">Jl. Sambisari No. A3 RT 03 RW 02, Kalasan, Sleman, Yogyakarta, Indonesia</span>",2,4
Kalya Hotel Yogyakarta,"<span itemprop=""address"">Jl. Gedongkuning Selatan No.118, Kota Gede, Yogyakarta, Indonesia</span>",4,4
Airlangga Hotel & Restaurant,"<span itemprop=""address"">Jl. Prawirotaman No. 6-8, Mergangsan, Yogyakarta, Indonesia</span>",24,24
Hotel di Jogja,,0,0
Grand Tjokro Yogyakarta Hotel,"<span itemprop=""address"">Jl. Gejayan No.37, Yogyakarta</span>",13,13
Sahid Raya Hotel & Convention Yogyakarta,"<span itemprop=""address"">Jl. Babarsari, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",2,2
Hotel Cakra Kembang,"<span itemprop=""address"">Jl. Kaliurang No.44, Yogyakarta</span>",8,8
Kotta GO Yogyakarta,"<span itemprop=""address"">Jl. Diponegoro No.87, Kel. Bumijo, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231</span>",4,4
Gallery Prawirotaman Hotel,"<span itemprop=""address"">Jl. Prawirotaman 2 (Jl. Gerilya) No. 839 B, Mergangsan, Yogyakarta, Indonesia</span>",12,36
Kampung Lawasan Heritage Cottage,"<span itemprop=""address"">Jl. Perumnas No. 30A, Condong Catur, Depok Sleman, Yogyakarta, Indonesia</span>",2,2
Grand Senyum Hotel Tugu Yogyakarta,"<span itemprop=""address"">Jl. Pangeran Diponegoro No.27, Gowongan, Jetis, Yogyakarta, Indonesia</span>",2,6
Hotel Olympic Jogja,"<span itemprop=""address"">Jl. Sisingamangaraja No. 21B karangkajen brontokusuman, Prawitoman, Yogyakarta, Indonesia</span>",6,12
Kolibri Kost & Guesthouse Exclusive,"<span itemprop=""address"">Jl. Damai Arjuna No. 48 Sariharjo, Ngaklik, Sleman, Yogyakarta, Indonesia</span>",2,6
The Alana Hotel & Conference Center Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Mayjend Sutoyo No.52, Mantrijeron, Yogyakarta, Indonesia</span>",5,5
Atrium Premiere Hotel Yogyakarta Ambarukmo,"<span itemprop=""address"">Jalan Laksda Adisucipto No. 157 A, Depok, Yogyakarta, Yogyakarta Province, Indonesia</span>",4,4
JJ House Gejayan,"<span itemprop=""address"">Jl. Affandi gg. Bayu No.8, Condong Catur, Yogyakarta</span>",4,4
La Casa Jogja,"<span itemprop=""address"">Affandi Street No. 53, Karang Gayam, Caturtunggal, Depok, Yogyakarta, Indonesia</span>",1,2
The Cabin Hotel Sutomo,"<span itemprop=""address"">Jl. Doktor Sutomo No.2, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",5,10
Front One Cabin Malioboro Jogja,"<span itemprop=""address"">Jl. Jagalan No.61 Purwokinanti, Pakualaman, Demangan, Malioboro, Yogyakarta, Indonesia</span>",4,16
TOP Malioboro Hotel Yogyakarta,"<span itemprop=""address"">Jl. HOS Cokroaminoto No.145, Wirobrajan, Yogyakarta, Indonesia</span>",10,10
Merapi Merbabu Hotel Yogyakarta,"<span itemprop=""address"">Jl. Seturan Raya, Depok, Sleman, Yogyakarta</span>",6,6
Eastparc Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto Km 6,5 Seturan, Yogyakarta, Indonesia</span>",2,2
OYO 1162 ZE room,"<span itemprop=""address"">Jl. Ringroad Utara No.4, Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",4,4
Arah Living (FKA Lokal Hotel),"<span itemprop=""address"">Jl. Jembatan Merah No.104C, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",4,8
Hotel Matahari Jogja,"<span itemprop=""address"">Jl. Parangtritis KM. 1 No. 123, Yogyakarta, Jawa Tengah, Indonesia</span>",5,15
OYO 1195 The Doctor's Guest House Syariah,"<span itemprop=""address"">Pohruboh 25C RT.02 RT.52, Joho, Condongcatur, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",8,8
GAIA Cosmo Hotel,"<span itemprop=""address"">Jl. Ipda Tut Harsono Timoho No. 16, Yogyakarta, Indonesia</span>",10,10
Hotel Citradream Tugu Yogyakarta,"<span itemprop=""address"">Jl. AM Sangaji No.28, Yogyakarta, Indonesia</span>",2,2
Novotel Yogyakarta,"<span itemprop=""address"">Jalan Jendral Sudirman 89</span>",12,12
Griya Mataram Kotagede,"<span itemprop=""address"">Jl. Pelemwulung No.15Plumbon, Banguntapan, Kec. Banguntapan, Bantul, DI Yogyakarta</span>",9,36
D'Paragon Kusumanegara,"<span itemprop=""address"">Jl. Sawit Semaki, Gg. Sawit Sari I No. 161, Semaki, Umbulharjo, Yogyakarta, Indonesia</span>",2,6
RedDoorz Plus near Malioboro Area,"<span itemprop=""address"">Jalan R. E. Martadinata, No.73, Wirobrajan, Wirobrajan, Yogyakarta, DI Yogyakarta</span>",9,18
Citihub Hotel @ Gejayan Jogjakarta,"<span itemprop=""address"">JL Affandi No.8 B, Gejayan, Daerah Istimewa Yogyakarta 55281, Indonesia</span>",10,40
D'Senopati Malioboro Grand Hotel,"<span itemprop=""address"">Jl. Panembahan Senopati No.40, Prawirodirjan, Yogyakarta, Indonesia</span>",2,6
Hotel di Jogja,,0,0
Mirta V Apartment Jogja,"<span itemprop=""address"">Jl. Amarta No. 1, Kledokan, Caturtunggal, Depok, Sleman, DI Yogyakarta, Indonesia</span>",2,2
Hotel Dafam Fortuna Malioboro Yogyakarta,"<span itemprop=""address"">Jl.Dagen No.60, Malioboro, Yogyakarta</span>",8,24
Aveta Hotel Malioboro,"<span itemprop=""address"">Jl. Malioboro No.42, Suryatmajan, Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",11,11
Royal Malioboro by ASTON,"<span itemprop=""address"">Jl. Pasar Kembang No. 29, Sosromenduran, Gedongtengen, Yogyakarta, Indonesia</span>",4,4
Grand Puri Saron Hotel Malioboro,"<span itemprop=""address"">Jl. Sosrowijayan No.70, Sosromenduran, Gedongtengen, Malioboro, Yogyakarta, Indonesia</span>",4,4
Hotel Indies Heritage Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman MG III No. 3, Yogyakarta, Indonesia</span>",6,24
Grand Rohan Jogja,"<span itemprop=""address"">Jl. Janti-Gedong Kuning No 336, Banguntapan, Bantul, Yogyakarta, Indonesia</span>",12,48
POP! Hotel Malioboro,"<span itemprop=""address"">Jl. Gandekan Lor No.92, Malioboro, Yogyakarta, Indoneisa</span>",3,3
Berlian Homestay Syariah Wirobrajan,"<span itemprop=""address"">Jl. Daradasih No.33, Patangpuluhan, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",4,16
INNSIDE by Melia Yogyakarta,"<span itemprop=""address"">Jl. Ringroad Utara, Maguwoharjo, Depok, Sleman, Yogyakarta, Indonesia</span>",16,16
Sans Hotel Nagari Malioboro,"<span itemprop=""address"">Jalan Letjen Suprapto, No.29, Ngampilan, Ngampilan, Yogyakarta, DI Yogyakarta</span>",9,9
The Sleepingroom Hostel,"<span itemprop=""address"">Jalan Sagan blok GKV no.887</span>",5,10
The Atrium Hotel & Resort Yogyakarta,"<span itemprop=""address"">Jl. Kebon Agung No. 20, Sendangadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",6,6
RedDoorz Plus near Jogja City Mall 5,"<span itemprop=""address"">Jl. Jati Ngali, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",3,3
Hotel Pules,"<span itemprop=""address"">Jl. Mataram, No.88, Suryatmajan, Danurejan, Kota Yogyakarta, Indonesia</span>",1,4
Omah Qu Guesthouse by Symphony,"<span itemprop=""address"">Jl. Bausasran No.34, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",2,4
Kusuma Syariah Hotel Yogyakarta,"<span itemprop=""address"">Jl. Wijaya Kusuma No.29, Condong Catur, Depok, Sleman, Yogyakarta, Indonesia</span>",2,2
Hotel Gloria Amanda,"<span itemprop=""address"">Jl. Sosrowijayan GT 1 No 195</span>",1,1
Tara Hotel Yogyakarta,"<span itemprop=""address"">Jl. Raya Magelang No.129, Yogyakarta, Indonesia</span>",4,4
Pandanaran Prawirotaman Yogyakarta,"<span itemprop=""address"">Jl Prawirotaman 38, Yogyakarta</span>",3,3
Hyatt Regency Yogyakarta,"<span itemprop=""address"">Jl. Palagan Tentara Pelajar, Ngaglik, Yogyakarta, DI Yogyakarta, Indonesia</span>",4,4
Emersia Malioboro Hotel,"<span itemprop=""address"">Jl. Gowongan Kidul 34, Tugu Jogja, Yogyakarta, Indonesia</span>",5,15
Puri Sidikan Inn,"<span itemprop=""address"">Jalan Sidikan no.6, Pandeyan, Yogyakarta, DI Yogyakarta, Indonesia</span>",2,2
Hotel Limaran,"<span itemprop=""address"">Pogung Baru Blok B3. Jl. Kaliurang KM 5, Pogung Kidul, Mlati, Sleman, Indonesia</span>",15,45
RedDoorz Plus @ Taman Siswa 3,"<span itemprop=""address"">Jl. Taman Siswa No.9, Wirogunan, Mergangsan, Yogyakarta, Indonesia</span>",11,11
Amaranta Prambanan,"<span itemprop=""address"">Dawangsari 02/03 No. 45, Dowang Sari, Sambirejo, Prambanan, Sleman, Daerah Istimewa Yogyakarta 55572</span>",3,3
OYO 3726 Tembok Batu Residence,"<span itemprop=""address"">Sendowo Blok E-106, Senolowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284</span>",16,16
Grage Ramayana Hotel,"<span itemprop=""address"">Jl. Sosrowijayan No. 33, Malioboro, Yogyakarta, Indonesia</span>",15,15
Penginapan Barokah,"<span itemprop=""address"">Pantai Kukup, Jl. Pantai Selatan Jawa, Dusun Ngepung, Kemadang</span>",30,90
Jambuluwuk Malioboro Hotel Yogyakarta,"<span itemprop=""address"">Jl. Gajah Mada No.67, Yogyakarta</span>",18,72
Hotel di Jogja,,0,0
Villa Kopiori,"<span itemprop=""address"">Kawasan Pantai Indrayanti, Watukelir, Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881</span>",2,4
Malioboro House Hotel,"<span itemprop=""address"">Jl. Mayor Suryotomo No. 25, Gondomanan, Yogyakarta, Indonesia</span>",2,4
RedDoorz Syariah @ Raya Tajem Maguwo,"<span itemprop=""address"">Jl. Raya Tajem No. 39, Maguwoharjo, Depok, Sleman, D.I Yogyakarta</span>",10,10
BnV House Nologaten,"<span itemprop=""address"">Jl. Nologaten No. 216, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",2,4
OYO 1419 Rhona Guest House Syariah Near RSUD Kota Yogyakarta,"<span itemprop=""address"">Jl. Malangan Raya No.18, Nglebeng, Tamanan, Kec. Banguntapan</span>",12,12
Burza Hotel Yogyakarta,"<span itemprop=""address"">Jl. Jogokaryan No. 61 - 63, Yogyakarta, Indonesia</span>",8,24
Hotel Pyrenees,"<span itemprop=""address"">Jl.Sosrowijayan No.1 ,Malioboro</span>",8,24
Novatel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Wahid Hasyim No.61, Ngabean, Yogyakarta</span>",4,12
RedDoorz Plus near RS Grhasia Kaliurang,"<span itemprop=""address"">Jl. Pakem - Turi No.km, RW.4, Labasan, Pakembinangun, Kec. Pakem, Kab. Sleman, DI Yogyakarat</span>",17,17
Penginapan Putra Darma,"<span itemprop=""address"">Pantai Indrayanti, Jl. Pantai Selatan Jawa, Desa Tepus, Kecamatan Tepus, Gunung Kidul, Yogyakarta, Indonesia</span>",64,192
OYO 3083 D Kost 3 Syariah,"<span itemprop=""address"">Jl. Masjid Kuncen No.13 A, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253</span>",4,4
OYO 2634 Griya Birowo Syariah,"<span itemprop=""address"">Jl. Baron No.34, Purwosari, Baleharjo, Wonosari, Gunung Kidul, Daerah Istimewa Yogyakarta</span>",4,16
Hotel Bakti,"<span itemprop=""address"">Jl. Hayam Wuruk No. 13, Tegal Panggung, Danurejan, Yogyakarta, Indonesia</span>",8,8
RedDoorz Syariah near UIN Yogyakarta,"<span itemprop=""address"">Jl. Nogogini No.78, Gowok, Ambarukmo, Caturtunggal, Depok, DI Yogyakarta, Indonesia</span>",9,9
Griya Sambilegi Maguwoharjo,"<span itemprop=""address"">Jalan Mangga No. 49 A, Sambelegi Kidul, Maguwoharjo, Kab. Sleman, DI Yogyakarta, Indonesia</span>",6,12
The Fort Hotel,"<span itemprop=""address"">Jl. Bugisan Selatan No.99, Kasihan, Bantul, Yogyakarta</span>",4,4
OYO 1533 The Paris Ocean,"<span itemprop=""address"">Jalan Parangtritis KM-28</span>",8,8
The Royal Joglo,"<span itemprop=""address"">Jl. Pantai Krakal, Wonosari, Gunungkidul, Yogyakarta, Indonesia</span>",16,16
OYO 1962 Anugerah Wisata Hotel,"<span itemprop=""address""> Jl. Waru No.21, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",12,12
OYO 441 Namira Hotel Syariah,"<span itemprop=""address"">Jalan Magelang Km.4,5, Sinduadi, Mlati, Kutu Asem, Sendangadi, Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia, Yogyakarta</span>",16,16
OYO 444 Rafitha Homestay,"<span itemprop=""address""> Jl. Perum Janti Residence kav Blok, Blok B4, Karang Bendo, Banguntapan, Bantul, Daerah Istimewa Yogyakarta 55198, Indonesia, Yogyakarta</span>",4,8
OYO 902 Hotel Pondok Anggun,"<span itemprop=""address"">Jl. Ringroad Utara No.1 E, Ngringin, Condongcatur, Depok, Sleman</span>",12,12
OYO 1473 Omah Tentrem Syariah,"<span itemprop=""address"">Jl. Rajawali 1 No. 7, Sanggrahan, Condongcatur, Kec. Depok, Ngaglik, Yogyakarta, Indonesia, 55283</span>",6,6
Rumput Hotel Resort & Resto,"<span itemprop=""address"">Jl. Cempaka Baru No.28, Yogyakarta</span>",4,8
The Cabin Hotel Bhayangkara,"<span itemprop=""address"">Jl. Bhayangkara No.11, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",3,12
Hotel Tentrem Yogyakarta,"<span itemprop=""address"">Jl. P. Mangkubumi 72A, Jetis, Yogyakarta, Indonesia</span>",6,6
OYO 2285 Art Guest House Syariah Near RSUD Kota Yogyakarta,"<span itemprop=""address"">Gg. Permadi No.1552, Wirogunan, Kec. Mergangsan</span>",4,12
OYO 3467 White Residence,"<span itemprop=""address"">Jl. Selorejo, Perumnas Condong Catur, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283</span>",8,8
OYO 1150 Omah Ladrang Near RSUP Dr Sardjito,"<span itemprop=""address"">Gg. Ladrang No. 4, Karang Wuni, Caturtunggal, Kec. Mlati, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",8,8
OYO 3906 Dalem Putu Sanjaya Syariah,"<span itemprop=""address"">Jl. Rama, Tegal Weru, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581</span>",4,4
Hotel di Jogja,,0,0
SPOT ON 2881 Nabila Homestay,"<span itemprop=""address"">Sari Harjo, Sinduharjo</span>",8,8
Hotel Nuri Indah Syariah,"<span itemprop=""address"">Jl. Dongkelan, Dongkelan, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, DI Yogyakarta</span>",6,6
Limasan Mbah Darmo,"<span itemprop=""address"">Pantai Indrayanti, Jl. Pantai Selatan Jawa, Desa Tepus, Kec. Tepus, Gunung Kidul, Yogyakarta, Indonesia</span>",16,16
Pandan Wangi Villa,"<span itemprop=""address"">Jl. Pantai Selatan Jawa, Watukelir, Desa Tepus, Kec. Tepus, Gunung Kidul, Yogyakarta, Indonesia</span>",24,24
Ndalem Padma Asri Guesthouse,"<span itemprop=""address"">Jl. Padma No.23, Panggungsari, Sariharjo, Ngaglik, Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",1,3
OYO 3496 Griya Gayatri,"<span itemprop=""address"">Jl. Nyi Tjondrolukito Gg. Napas No.60C, Nandan, Sariharjo, Ngaglik, Sleman, Yogyakarta</span>",12,48
OYO 3787 Hotel Poncowinatan,"<span itemprop=""address"">Jl. Poncowinatan No.3, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233</span>",16,16
Sekar Ayu Hotel Malioboro,"<span itemprop=""address"">Jl. Abu bakar Ali 8 Kotabaru, Kotabaru, Gondokusuman, Yogyakarta, Indonesia</span>",8,32
Hinggil Homestay Syariah,"<span itemprop=""address"">Jl. Tentara Rakyat Mataram No.10, Bumijo, Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",9,36
Apartment Jowo Klutuk 1,"<span itemprop=""address"">Apartment Malioboro City, Jalan Laksa Adi Sutjipto Km. 8, Tambakbayan, Caturtunggal, Depok, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman,</span>",1,1
Madina Inn,"<span itemprop=""address"">Jl. Tamansiswa No. 56, Wirogunan, Mergangsan, Yogyakarta, Indonesia</span>",3,9
OYO 3006 Falisha Homestay Syariah,"<span itemprop=""address"">RW23, DUSUN BODEH, Ambarketawang, Yogyakarta</span>",8,8
OYO 1855 Elise Exclusive Residence,"<span itemprop=""address"">Jl. Kaliurang, Turen, Sardonoharjo, Kec. Ngaglik</span>",4,4
Eclipse Hotel,"<span itemprop=""address"">Jl.Prawirotaman No.35, Yogyakarta, Jawa Tengah</span>",1,2
Penginapan Joko Samudro,"<span itemprop=""address"">Pantai Kukup, Kemadang, Tanjung Sari, Gunung Kidul, Yogyakarta, Indonesia</span>",30,90
OYO 857 Pakuncen Malioboro Syariah,"<span itemprop=""address"">Jl. HOS Cokroaminoto No.44, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253, Indonesia, Yogyakarta</span>",8,24
RedDoorz near Museum Gunung Merapi,"<span itemprop=""address"">Wonorejo RT.03/028 Desa Hargobinangun Pakem Sleman Yogyakarta </span>",4,4
OYO 1431 Travel-inn,"<span itemprop=""address"">Jl. Kresna, Sinduadi, Mlati, Sleman Regency, Yogyakarta, Indonesia</span>",8,8
Villa de Moyeng,"<span itemprop=""address"">Jl. Godean Km. 24, Dusun Tileng, Desa Pandowoharjo, Kec. Girimulyo, Kab. Kulon Progo, Yogyakarta, Indonesia</span>",24,24
OYO 2041 Griya Aneka Near RSU PKU Muhammadiyah,"<span itemprop=""address""> Jl. KH. Ahmad Dahlan No.149, Notoprajan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",4,4
LPP Garden Hotel,"<span itemprop=""address"">Jl. Perumnas No.1, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281</span>",8,32
OYO 348 Hotel Dieng Permai,"<span itemprop=""address"">Jl. Bumijo No.20, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231</span>",16,16
Caniga Yogyakarta,"<span itemprop=""address"">Jl. Kyai Guno Mrico No. 9, Giwangan, Umbulharjo, Yogyakarta, Indonesia</span>",2,6
OYO 3935 Artha Ambarukmo Exclusive,"<span itemprop=""address"">Jl. Perumahan Kp. Ambarukmo, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281</span>",8,8
OYO 1073 Pogung W1 Exclusive,"<span itemprop=""address"">Pogung Baru W1 Gg. Pamungkas No. 17, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",12,12
Griya Godean Yogyakarta,"<span itemprop=""address"">Jl. Godean Km 4 No.10, 500 Meter Barat Mirota Godean, Jl. Kajor, Kwarasan, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",4,12
Hotel Kana Kaliurang,"<span itemprop=""address"">Jl. Boyong, Gg Giri Kondang, Kaliurang Barat, Hargobinangun, Sleman, Yogyakarta, Indonesia</span>",10,10
The Nest Hotel,"<span itemprop=""address"">Jl. AMPTA No.8, Depok Sleman, Yogyakarta</span>",4,4
OYO 261 Sasono Putro Guest House,"<span itemprop=""address"">Jl. Pandean Sari Blk. 1 No.1, Candok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia.</span>",8,8
Hotel Prayogo III Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman No. 34, Brontokusuman, Mergangsan, Yogyakarta, Indonesia</span>",3,9
Hotel di Jogja,,0,0
Java Villas Boutique Hotel And Resto,"<span itemprop=""address"">Jl. Gerilya No. 460, Prawirotaman, Yogyakarta, Indonesia</span>",3,12
Indoluxe Hotel Yogyakarta,"<span itemprop=""address"">Jl Palagan Tentara Pelajar No 106 Yogyakarta</span>",4,8
Dom Hotel Jogja,"<span itemprop=""address"">Jl. Kaliurang Km 8,6, Rt 002 Rw 027, Sinduarjo, Ngaglik, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",2,6
Royal Ambarrukmo Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto No.81, Depok, Sleman, Yogyakarta</span>",14,14
Chrissant Guest House,"<span itemprop=""address"">Jl. Wijaya Kusuma, No.317, Kutu Tegal, Sinduadi, Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",4,4
Srikandi Baru Inn,"<span itemprop=""address"">Jl. Plumbon 326 RT.12 / RW.15 Banguntapan, Bantul, Banguntapan, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",1,1
Hotel Virgo 2,"<span itemprop=""address"">Sosrowijayan Wetan GG.11 GT 1 No. 148D</span>",1,1
The Cabin Hotel Gandekan,"<span itemprop=""address"">Jl. Gandekan Lor No.2, Gedongtengen, Yogyakarta, DI Yogyakarta, Indonesia</span>",12,36
Griya Sentana Malioboro Hotel,"<span itemprop=""address"">Jl Gowongan Lor 65 Tugu Yogyakarta</span>",26,26
Satoria Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto Km. 8, Sleman, Yogyakarta, Indonesia</span>",8,8
New Hotel Lilik,"<span itemprop=""address"">Jl. Dagen No.16, Malioboro, Yogyakarta, Indonesia</span>",2,6
Hotel Santika Premiere Jogja,"<span itemprop=""address"">Jl. Jend. Sudirman No.19, Cokrodiningratan, Jetis, Yogyakarta</span>",25,25
Arrayan Malioboro Syariah,"<span itemprop=""address"">Jl. Bhayangkara No. 13, Malioboro, Yogyakarta, DI Yogyakarta, Indonesia</span>",4,12
Koslo Yogyakarta,"<span itemprop=""address"">Jl. Perumnas Waringinsari I No. 12C, Condongcatur, Depok, Ngropoh, Condongcatur, Kec. Depok, </span>",5,15
Summer Season Boutique Hotel,"<span itemprop=""address"">Jl. Sosrowijayan No.6, Yogyakarta, Indonesia</span>",1,3
YATS Colony,"<span itemprop=""address"">Jl. Patangpuluhan No.23, Patangpuluhan, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",6,12
Hotel Srikandi Baru,"<span itemprop=""address"">Gang Pandegakarya 10, Jalan Kaliurang KM 5,6, Depok, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",1,1
Remen Room Bed & Breakfast,"<span itemprop=""address"">Jl. komplek Colombo no.35 Catur Tunggal Depok Sleman Yogyakarta 55281</span>",3,6
Apartment Jowo Klutuk 3,"<span itemprop=""address"">Apartment Malioboro City, Jalan Laksa Adi Sutjipto Km. 8, Tambakbayan, Caturtunggal, Depok, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman</span>",1,1
OYO 999 Garuda Guesthouse,"<span itemprop=""address"">Jl. Garuda 79B, Sardonoharjo, Ngaglik, Sleman</span>",4,4
Mawar Asri Hotel,"<span itemprop=""address"">Jl. H Agus Salim, No.40, Notoprajan, Ngampilan, Kota Yogyakarta, Indonesia</span>",3,3
Metro Guest House,"<span itemprop=""address"">Jl. Prawirotaman II Mg III/606, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",1,4
LPP Convention Hotel,"<span itemprop=""address"">Jl. Demangan Baru No.8, Depok, Yogyakarta, DI Yogyakarta, Indonesia</span>",4,8
Budget Room at Homestay Cahaya Transport 2,"<span itemprop=""address"">Jl. Tohpati No 64 Golo, Pandeyan, Umbulharjo</span>",4,12
