nama_hotel,alamat_hotel,jumlah_kamar
ArFe Room Apartemen Taman Melati Yogyakarta,"<span itemprop=""address"">Jl. Jemb. Baru UGM, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",2
OYO 408 Graha Vege Jawi Syariah,"<span itemprop=""address"">125, Jl. Turonggo, Jaranan, Banguntapan, Yogyakarta</span>",5
OYO 514 Omah Pari Boutique Hotel,"<span itemprop=""address"">Jl. Nakulo Jl. Kapten Piere Tendean No.34, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55252, Indonesia, Yogyakarta</span>",9
Watu Lumbung Culture Resort,"<span itemprop=""address"">Jl. Rute Gerilya Sudirman, Kampung Edukasi Watu Lumbung, Bantul, Yogykarta, Indonesia</span>",13
OYO 1829 Zaira House,"<span itemprop=""address"">Jl. Palagan, Sariharjo, Ngaglik, Karang Moko, Sariharjo, Kec. Ngaglik</span>",5
OYO 2669 Crown Residence,"<span itemprop=""address"">Jl. Magelang No.16 A, Bumijo, Kec. Tegalrejo</span>",17
Malioboro Place,"<span itemprop=""address"">Jl. Sosrokusuman No. 15, Danurejan, Yogyakarta, Indonesia</span>",7
E Kamar,"<span itemprop=""address"">Jl. Nogosari Kidul No.60, Kadipaten, Kraton, Yogyakarta</span>",29
Djuragan Kamar Nogotirto,"<span itemprop=""address"">Jl. Kramatan, Nogosaren, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",2
OYO 195 Stay @h Guesthouse,"<span itemprop=""address"">Pogung Lor, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia</span>",13
PORTA by The Ambarrukmo,"<span itemprop=""address"">Jl. Colombo N0.07, Karangmalang, Caturtunggal, Sleman, DI Yogyakarta</span>",19
Hotel di Jogja,,1
MMUGM Hotel,"<span itemprop=""address"">Jl. Colombo No.1, Yogyakarta</span>",3
Grand Zuri Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Mangkubumi No.18, Malioboro, Yogyakarta</span>",19
Residence Duksina 2 by SHM,"<span itemprop=""address"">Jl. Pandega Duksina No. 2, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",3
The Westlake Hotel & Resort Yogyakarta,"<span itemprop=""address"">Jl. Ring Road Barat, Bedog, Trihanggo, Sleman, Yogyakarta, Indonesia </span>",15
Brothers Inn Babarsari Yogya,"<span itemprop=""address"">Jl. Babarsari No. 47, Kledokan, Yogyakarta, Indonesia</span>",4
Sagan Heritage Hotel Yogyakarta,"<span itemprop=""address"">Jl. Kartini No. 4, Terban, Gondokusuman, Yogyakarta, Indonesia</span>",31
THE 1O1 Yogyakarta Tugu,"<span itemprop=""address"">Jl.Margoutomo No.103 (Mangkubumi), Tugu, Yogyakarta, Jawa Tengah</span>",10
POP! Hotel Timoho Yogyakarta,"<span itemprop=""address"">Jl. IPDA Tut Harsono No. 11 (BALAIKOTA AREA) Timoho, Yogyakarta, Indonesia</span>",4
Hotel Aryuka,"<span itemprop=""address"">Jl. Kaliurang Km 5.8, Ring Road, Yogyakarta</span>",2
Jowo Kluthuk Taman Melati,"<span itemprop=""address"">Jl. Jemb. Baru UGM Jl. Pogung Kidul, Pogung Kidul, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284</span>",5
Dafam Fortuna Seturan Yogyakarta,"<span itemprop=""address"">Jl. Seturan Raya, Sleman, Yogyakarta</span>",5
ibis Yogyakarta Malioboro,"<span itemprop=""address"">Jalan Malioboro No 52-58</span>",5
Grand Orchid Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adi Sucipto Km 8, Adi Sucipto, Yogyakarta 55281, Indonesia</span>",6
Grand Ambarrukmo,"<span itemprop=""address"">Jl. Adisucipto No. 82, Yogyakarta, Indonesia</span>",13
Ayaartta Hotel Malioboro,"<span itemprop=""address"">Jalan KH Ahmad Dahlan No.123, Ngampilan, Yogyakarta, Yogyakarta Province, Indonesia</span>",9
Lynn Yogyakarta by Horison,"<span itemprop=""address"">Jl. Jogokaryan No.82, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143</span>",7
Rivisha Hotel Yogyakarta,"<span itemprop=""address"">Jl. Manggis No. 6, Nologaten, Condongcatur,  Depok, Sleman, Yogyakarta, Indonesia</span>",3
Prime Cailendra Hotel,"<span itemprop=""address"">Jl. Taman Siswa No.91, Yogyakarta, Indonesia</span>",10
De Gadri Ndalem Yogyakarta,"<span itemprop=""address"">Jl. Ring Road Selatan No.320, Ngrame, Tamantirto, Kasihan, Bantul, Daerah Istimewa Yogyakarta, Indonesia</span>",5
Yellow Star Gejayan Hotel,"<span itemprop=""address"">Jl. Gejayan 27A Sleman, Yogyakarta, Indonesia</span>",6
Sahid Raya Hotel & Convention Yogyakarta,"<span itemprop=""address"">Jl. Babarsari, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia</span>",4
Student Park Hotel,"<span itemprop=""address"">Jl. Seturan Raya No.1 Seturan Catur Tunggal Depok Sleman, Depok, Seturan, Yogyakarta, Indonesia</span>",5
Royal Darmo Malioboro Hotel,"<span itemprop=""address"">Jl. Kemetiran Kidul No. 54, Gedong Tengen, Yogyakarta, Indonesia</span>",5
Amaris Hotel Sagan - Yogyakarta,"<span itemprop=""address"">Jl. Prof. Dr. Herman Yohanes No.16, Sagan, Yogyakarta, Indonesia</span>",7
OYO 1277 Pondok Damai Syariah,"<span itemprop=""address"">Jl.Kaliurang Km13,5 , nganggrung, Besi, Sukoharjo, Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia, Yogyakarta</span>",13
Crystal Lotus Hotel Yogyakarta,"<span itemprop=""address"">Jl. Magelang KM 5.2, Mlati, Sinduadi, Sleman, Yogyakarta.</span>",7
Zest Hotel Yogyakarta,"<span itemprop=""address"">Jl Gajah Mada No 28, Yogyakarta</span>",3
The Alana Yogyakarta Hotel & Convention Center,"<span itemprop=""address"">Mataram City  - Jalan Palagan Tentara Pelajar Km. 7, Ngaglik, Yogyakarta, Provinsi Yogyakarta, Indonesia, 55581</span>",6
Kalya Hotel Yogyakarta,"<span itemprop=""address"">Jl. Gedongkuning Selatan No.118, Kota Gede, Yogyakarta, Indonesia</span>",5
Premier Guest House Jogja,"<span itemprop=""address"">Jl. Sambisari No. A3 RT 03 RW 02, Kalasan, Sleman, Yogyakarta, Indonesia</span>",2
Hotel di Jogja,,1
Kampung Lawasan Heritage Cottage,"<span itemprop=""address"">Jl. Perumnas No. 30A, Condong Catur, Depok Sleman, Yogyakarta, Indonesia</span>",3
Grand Senyum Hotel Tugu Yogyakarta,"<span itemprop=""address"">Jl. Pangeran Diponegoro No.27, Gowongan, Jetis, Yogyakarta, Indonesia</span>",3
Kotta GO Yogyakarta,"<span itemprop=""address"">Jl. Diponegoro No.87, Kel. Bumijo, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231</span>",5
Kolibri Kost & Guesthouse Exclusive,"<span itemprop=""address"">Jl. Damai Arjuna No. 48 Sariharjo, Ngaklik, Sleman, Yogyakarta, Indonesia</span>",3
Merapi Merbabu Hotel Yogyakarta,"<span itemprop=""address"">Jl. Seturan Raya, Depok, Sleman, Yogyakarta</span>",7
The Cabin Hotel Sutomo,"<span itemprop=""address"">Jl. Doktor Sutomo No.2, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",6
The Alana Hotel & Conference Center Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Mayjend Sutoyo No.52, Mantrijeron, Yogyakarta, Indonesia</span>",6
Front One Cabin Malioboro Jogja,"<span itemprop=""address"">Jl. Jagalan No.61 Purwokinanti, Pakualaman, Demangan, Malioboro, Yogyakarta, Indonesia</span>",3
La Casa Jogja,"<span itemprop=""address"">Affandi Street No. 53, Karang Gayam, Caturtunggal, Depok, Yogyakarta, Indonesia</span>",5
TOP Malioboro Hotel Yogyakarta,"<span itemprop=""address"">Jl. HOS Cokroaminoto No.145, Wirobrajan, Yogyakarta, Indonesia</span>",8
OYO 1162 ZE room,"<span itemprop=""address"">Jl. Ringroad Utara No.4, Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",5
Eastparc Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto Km 6,5 Seturan, Yogyakarta, Indonesia</span>",4
OYO 647 Irooms Homestay,"<span itemprop=""address"">Candi Winangun, Sardonoharjo No. 10, Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Sleman</span>",5
OYO 1195 The Doctor's Guest House Syariah,"<span itemprop=""address"">Pohruboh 25C RT.02 RT.52, Joho, Condongcatur, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",9
GAIA Cosmo Hotel,"<span itemprop=""address"">Jl. Ipda Tut Harsono Timoho No. 16, Yogyakarta, Indonesia</span>",10
Novotel Yogyakarta,"<span itemprop=""address"">Jalan Jendral Sudirman 89</span>",13
Hotel Citradream Tugu Yogyakarta,"<span itemprop=""address"">Jl. AM Sangaji No.28, Yogyakarta, Indonesia</span>",3
Griya Mataram Kotagede,"<span itemprop=""address"">Jl. Pelemwulung No.15Plumbon, Banguntapan, Kec. Banguntapan, Bantul, DI Yogyakarta</span>",9
RedDoorz Plus near Malioboro Area,"<span itemprop=""address"">Jalan R. E. Martadinata, No.73, Wirobrajan, Wirobrajan, Yogyakarta, DI Yogyakarta</span>",10
Hotel Malioboro Palace,"<span itemprop=""address"">Jl.Sosrowijayan No.3-5 Malioboro, Yogyakarta</span>",4
Citihub Hotel @ Gejayan Jogjakarta,"<span itemprop=""address"">JL Affandi No.8 B, Gejayan, Daerah Istimewa Yogyakarta 55281, Indonesia</span>",11
Aveta Hotel Malioboro,"<span itemprop=""address"">Jl. Malioboro No.42, Suryatmajan, Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",12
POP! Hotel Malioboro,"<span itemprop=""address"">Jl. Gandekan Lor No.92, Malioboro, Yogyakarta, Indoneisa</span>",4
Mirta V Apartment Jogja,"<span itemprop=""address"">Jl. Amarta No. 1, Kledokan, Caturtunggal, Depok, Sleman, DI Yogyakarta, Indonesia</span>",3
Hotel Indies Heritage Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman MG III No. 3, Yogyakarta, Indonesia</span>",7
D'Senopati Malioboro Grand Hotel,"<span itemprop=""address"">Jl. Panembahan Senopati No.40, Prawirodirjan, Yogyakarta, Indonesia</span>",4
Grand Puri Saron Hotel Malioboro,"<span itemprop=""address"">Jl. Sosrowijayan No.70, Sosromenduran, Gedongtengen, Malioboro, Yogyakarta, Indonesia</span>",6
RedDoorz Plus near Alun Alun Selatan 2,"<span itemprop=""address"">Jl. Tirtodipuran No.30, Yogyakarta, Mantrijeron, Yogyakarta, Indonesia</span>",14
INNSIDE by Melia Yogyakarta,"<span itemprop=""address"">Jl. Ringroad Utara, Maguwoharjo, Depok, Sleman, Yogyakarta, Indonesia</span>",21
Sans Hotel Nagari Malioboro,"<span itemprop=""address"">Jalan Letjen Suprapto, No.29, Ngampilan, Ngampilan, Yogyakarta, DI Yogyakarta</span>",10
Hotel di Jogja,,1
The Sleepingroom Hostel,"<span itemprop=""address"">Jalan Sagan blok GKV no.887</span>",6
Hotel Sumaryo,"<span itemprop=""address"">Jl. Prawirotaman No. 22, Kota Gede, Yogyakarta, Indonesia</span>",9
The Atrium Hotel & Resort Yogyakarta,"<span itemprop=""address"">Jl. Kebon Agung No. 20, Sendangadi, Mlati, Sleman, Yogyakarta, Indonesia</span>",7
RedDoorz Plus near Jogja City Mall 5,"<span itemprop=""address"">Jl. Jati Ngali, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",4
Omah Qu Guesthouse by Symphony,"<span itemprop=""address"">Jl. Bausasran No.34, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",4
Kusuma Syariah Hotel Yogyakarta,"<span itemprop=""address"">Jl. Wijaya Kusuma No.29, Condong Catur, Depok, Sleman, Yogyakarta, Indonesia</span>",3
Hotel Gloria Amanda,"<span itemprop=""address"">Jl. Sosrowijayan GT 1 No 195</span>",2
Tara Hotel Yogyakarta,"<span itemprop=""address"">Jl. Raya Magelang No.129, Yogyakarta, Indonesia</span>",5
Pandanaran Prawirotaman Yogyakarta,"<span itemprop=""address"">Jl Prawirotaman 38, Yogyakarta</span>",4
Cavinton Hotel Yogyakarta by Tritama Hospitality,"<span itemprop=""address"">Jl. Letjend Suprapto No.1, Ngampilan, Wirobrajan, Yogyakarta, Indonesia</span>",7
Hyatt Regency Yogyakarta,"<span itemprop=""address"">Jl. Palagan Tentara Pelajar, Ngaglik, Yogyakarta, DI Yogyakarta, Indonesia</span>",5
Emersia Malioboro Hotel,"<span itemprop=""address"">Jl. Gowongan Kidul 34, Tugu Jogja, Yogyakarta, Indonesia</span>",5
OYO Life 3003 Wisma Handayani,"<span itemprop=""address"">Jl. Taman Bakti No.26, Jeruksari, Wonosari, Kec. Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55813</span>",5
Puri Sidikan Inn,"<span itemprop=""address"">Jalan Sidikan no.6, Pandeyan, Yogyakarta, DI Yogyakarta, Indonesia</span>",3
Hotel Limaran,"<span itemprop=""address"">Pogung Baru Blok B3. Jl. Kaliurang KM 5, Pogung Kidul, Mlati, Sleman, Indonesia</span>",16
RedDoorz Plus @ Taman Siswa 3,"<span itemprop=""address"">Jl. Taman Siswa No.9, Wirogunan, Mergangsan, Yogyakarta, Indonesia</span>",13
Novatel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Wahid Hasyim No.61, Ngabean, Yogyakarta</span>",5
Violet Hotel Malioboro,"<span itemprop=""address"">Jl. Bhayangkara NG. 1 No. 1133, Ngampilan, Yogyakarta, Indonesia</span>",7
OYO 3726 Tembok Batu Residence,"<span itemprop=""address"">Sendowo Blok E-106, Senolowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284</span>",17
Hotel Pyrenees,"<span itemprop=""address"">Jl.Sosrowijayan No.1 ,Malioboro</span>",9
Grage Ramayana Hotel,"<span itemprop=""address"">Jl. Sosrowijayan No. 33, Malioboro, Yogyakarta, Indonesia</span>",16
Amaranta Prambanan,"<span itemprop=""address"">Dawangsari 02/03 No. 45, Dowang Sari, Sambirejo, Prambanan, Sleman, Daerah Istimewa Yogyakarta 55572</span>",4
Abadi Hotel Malioboro Jogja,"<span itemprop=""address"">Jl. Pasar Kembang No.49, Yogyakarta</span>",3
Jambuluwuk Malioboro Hotel Yogyakarta,"<span itemprop=""address"">Jl. Gajah Mada No.67, Yogyakarta</span>",22
Burza Hotel Yogyakarta,"<span itemprop=""address"">Jl. Jogokaryan No. 61 - 63, Yogyakarta, Indonesia</span>",5
Villa Kopiori,"<span itemprop=""address"">Kawasan Pantai Indrayanti, Watukelir, Tepus, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55881</span>",3
BnV House Nologaten,"<span itemprop=""address"">Jl. Nologaten No. 216, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",3
OYO 1419 Rhona Guest House Syariah Near RSUD Kota Yogyakarta,"<span itemprop=""address"">Jl. Malangan Raya No.18, Nglebeng, Tamanan, Kec. Banguntapan</span>",13
Malioboro House Hotel,"<span itemprop=""address"">Jl. Mayor Suryotomo No. 25, Gondomanan, Yogyakarta, Indonesia</span>",3
OYO 3083 D Kost 3 Syariah,"<span itemprop=""address"">Jl. Masjid Kuncen No.13 A, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253</span>",5
Hotel di Jogja,,1
OYO 441 Namira Hotel Syariah,"<span itemprop=""address"">Jalan Magelang Km.4,5, Sinduadi, Mlati, Kutu Asem, Sendangadi, Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia, Yogyakarta</span>",17
Hotel Bakti,"<span itemprop=""address"">Jl. Hayam Wuruk No. 13, Tegal Panggung, Danurejan, Yogyakarta, Indonesia</span>",9
Griya Sambilegi Maguwoharjo,"<span itemprop=""address"">Jalan Mangga No. 49 A, Sambelegi Kidul, Maguwoharjo, Kab. Sleman, DI Yogyakarta, Indonesia</span>",9
The Cabin Hotel Bhayangkara,"<span itemprop=""address"">Jl. Bhayangkara No.11, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",4
The Fort Hotel,"<span itemprop=""address"">Jl. Bugisan Selatan No.99, Kasihan, Bantul, Yogyakarta</span>",5
OYO 1533 The Paris Ocean,"<span itemprop=""address"">Jalan Parangtritis KM-28</span>",9
The Royal Joglo,"<span itemprop=""address"">Jl. Pantai Krakal, Wonosari, Gunungkidul, Yogyakarta, Indonesia</span>",9
OYO 1962 Anugerah Wisata Hotel,"<span itemprop=""address""> Jl. Waru No.21, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",13
Penginapan Putra Darma,"<span itemprop=""address"">Pantai Indrayanti, Jl. Pantai Selatan Jawa, Desa Tepus, Kecamatan Tepus, Gunung Kidul, Yogyakarta, Indonesia</span>",65
OYO 444 Rafitha Homestay,"<span itemprop=""address""> Jl. Perum Janti Residence kav Blok, Blok B4, Karang Bendo, Banguntapan, Bantul, Daerah Istimewa Yogyakarta 55198, Indonesia, Yogyakarta</span>",9
OYO 902 Hotel Pondok Anggun,"<span itemprop=""address"">Jl. Ringroad Utara No.1 E, Ngringin, Condongcatur, Depok, Sleman</span>",13
OYO 1473 Omah Tentrem Syariah,"<span itemprop=""address"">Jl. Rajawali 1 No. 7, Sanggrahan, Condongcatur, Kec. Depok, Ngaglik, Yogyakarta, Indonesia, 55283</span>",7
Hotel Tentrem Yogyakarta,"<span itemprop=""address"">Jl. P. Mangkubumi 72A, Jetis, Yogyakarta, Indonesia</span>",7
OYO 3467 White Residence,"<span itemprop=""address"">Jl. Selorejo, Perumnas Condong Catur, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283</span>",9
OYO 1150 Omah Ladrang Near RSUP Dr Sardjito,"<span itemprop=""address"">Gg. Ladrang No. 4, Karang Wuni, Caturtunggal, Kec. Mlati, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",9
SPOT ON 2881 Nabila Homestay,"<span itemprop=""address"">Sari Harjo, Sinduharjo</span>",9
Hotel Nuri Indah Syariah,"<span itemprop=""address"">Jl. Dongkelan, Dongkelan, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, DI Yogyakarta</span>",7
Limasan Mbah Darmo,"<span itemprop=""address"">Pantai Indrayanti, Jl. Pantai Selatan Jawa, Desa Tepus, Kec. Tepus, Gunung Kidul, Yogyakarta, Indonesia</span>",17
Pandan Wangi Villa,"<span itemprop=""address"">Jl. Pantai Selatan Jawa, Watukelir, Desa Tepus, Kec. Tepus, Gunung Kidul, Yogyakarta, Indonesia</span>",25
Ndalem Padma Asri Guesthouse,"<span itemprop=""address"">Jl. Padma No.23, Panggungsari, Sariharjo, Ngaglik, Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",2
OYO 3496 Griya Gayatri,"<span itemprop=""address"">Jl. Nyi Tjondrolukito Gg. Napas No.60C, Nandan, Sariharjo, Ngaglik, Sleman, Yogyakarta</span>",13
OYO 3787 Hotel Poncowinatan,"<span itemprop=""address"">Jl. Poncowinatan No.3, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233</span>",17
Hinggil Homestay Syariah,"<span itemprop=""address"">Jl. Tentara Rakyat Mataram No.10, Bumijo, Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",10
Rumput Hotel Resort & Resto,"<span itemprop=""address"">Jl. Cempaka Baru No.28, Yogyakarta</span>",4
OYO 3006 Falisha Homestay Syariah,"<span itemprop=""address"">RW23, DUSUN BODEH, Ambarketawang, Yogyakarta</span>",9
OYO 3906 Dalem Putu Sanjaya Syariah,"<span itemprop=""address"">Jl. Rama, Tegal Weru, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581</span>",5
OYO 1855 Elise Exclusive Residence,"<span itemprop=""address"">Jl. Kaliurang, Turen, Sardonoharjo, Kec. Ngaglik</span>",5
Eclipse Hotel,"<span itemprop=""address"">Jl.Prawirotaman No.35, Yogyakarta, Jawa Tengah</span>",2
Penginapan Joko Samudro,"<span itemprop=""address"">Pantai Kukup, Kemadang, Tanjung Sari, Gunung Kidul, Yogyakarta, Indonesia</span>",31
OYO 857 Pakuncen Malioboro Syariah,"<span itemprop=""address"">Jl. HOS Cokroaminoto No.44, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253, Indonesia, Yogyakarta</span>",9
Hotel di Jogja,,1
RedDoorz near Museum Gunung Merapi,"<span itemprop=""address"">Wonorejo RT.03/028 Desa Hargobinangun Pakem Sleman Yogyakarta </span>",5
OYO 1431 Travel-inn,"<span itemprop=""address"">Jl. Kresna, Sinduadi, Mlati, Sleman Regency, Yogyakarta, Indonesia</span>",9
Villa de Moyeng,"<span itemprop=""address"">Jl. Godean Km. 24, Dusun Tileng, Desa Pandowoharjo, Kec. Girimulyo, Kab. Kulon Progo, Yogyakarta, Indonesia</span>",25
OYO 2041 Griya Aneka Near RSU PKU Muhammadiyah,"<span itemprop=""address""> Jl. KH. Ahmad Dahlan No.149, Notoprajan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",5
LPP Garden Hotel,"<span itemprop=""address"">Jl. Perumnas No.1, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281</span>",2
OYO 348 Hotel Dieng Permai,"<span itemprop=""address"">Jl. Bumijo No.20, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55231</span>",17
Caniga Yogyakarta,"<span itemprop=""address"">Jl. Kyai Guno Mrico No. 9, Giwangan, Umbulharjo, Yogyakarta, Indonesia</span>",2
OYO 3935 Artha Ambarukmo Exclusive,"<span itemprop=""address"">Jl. Perumahan Kp. Ambarukmo, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281</span>",9
OYO 1073 Pogung W1 Exclusive,"<span itemprop=""address"">Pogung Baru W1 Gg. Pamungkas No. 17, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, DI Yogyakarta, Indonesia</span>",9
Hotel Kana Kaliurang,"<span itemprop=""address"">Jl. Boyong, Gg Giri Kondang, Kaliurang Barat, Hargobinangun, Sleman, Yogyakarta, Indonesia</span>",11
Dem Ayem Heritage Guest House,"<span itemprop=""address"">Jl. A.M Sangaji No.44, Jetisharjo, Cokrodingratan, Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",5
The Nest Hotel,"<span itemprop=""address"">Jl. AMPTA No.8, Depok Sleman, Yogyakarta</span>",5
OYO 261 Sasono Putro Guest House,"<span itemprop=""address"">Jl. Pandean Sari Blk. 1 No.1, Candok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia.</span>",9
Hotel Prayogo III Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman No. 34, Brontokusuman, Mergangsan, Yogyakarta, Indonesia</span>",4
Java Villas Boutique Hotel And Resto,"<span itemprop=""address"">Jl. Gerilya No. 460, Prawirotaman, Yogyakarta, Indonesia</span>",4
Apartment Jowo Klutuk 1,"<span itemprop=""address"">Apartment Malioboro City, Jalan Laksa Adi Sutjipto Km. 8, Tambakbayan, Caturtunggal, Depok, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman,</span>",2
Remen Room Bed & Breakfast,"<span itemprop=""address"">Jl. komplek Colombo no.35 Catur Tunggal Depok Sleman Yogyakarta 55281</span>",4
Srikandi Baru Inn,"<span itemprop=""address"">Jl. Plumbon 326 RT.12 / RW.15 Banguntapan, Bantul, Banguntapan, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",2
Indoluxe Hotel Yogyakarta,"<span itemprop=""address"">Jl Palagan Tentara Pelajar No 106 Yogyakarta</span>",3
Royal Ambarrukmo Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto No.81, Depok, Sleman, Yogyakarta</span>",15
Dom Hotel Jogja,"<span itemprop=""address"">Jl. Kaliurang Km 8,6, Rt 002 Rw 027, Sinduarjo, Ngaglik, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",3
Chrissant Guest House,"<span itemprop=""address"">Jl. Wijaya Kusuma, No.317, Kutu Tegal, Sinduadi, Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",4
Hotel Virgo 2,"<span itemprop=""address"">Sosrowijayan Wetan GG.11 GT 1 No. 148D</span>",2
Hotel Santika Premiere Jogja,"<span itemprop=""address"">Jl. Jend. Sudirman No.19, Cokrodiningratan, Jetis, Yogyakarta</span>",26
Summer Season Boutique Hotel,"<span itemprop=""address"">Jl. Sosrowijayan No.6, Yogyakarta, Indonesia</span>",2
Hotel Srikandi Baru,"<span itemprop=""address"">Gang Pandegakarya 10, Jalan Kaliurang KM 5,6, Depok, Yogyakarta, Provinsi Yogyakarta, Indonesia</span>",2
Arrayan Malioboro Syariah,"<span itemprop=""address"">Jl. Bhayangkara No. 13, Malioboro, Yogyakarta, DI Yogyakarta, Indonesia</span>",5
Koslo Yogyakarta,"<span itemprop=""address"">Jl. Perumnas Waringinsari I No. 12C, Condongcatur, Depok, Ngropoh, Condongcatur, Kec. Depok, </span>",5
Apartment Jowo Klutuk 3,"<span itemprop=""address"">Apartment Malioboro City, Jalan Laksa Adi Sutjipto Km. 8, Tambakbayan, Caturtunggal, Depok, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman</span>",2
OYO 999 Garuda Guesthouse,"<span itemprop=""address"">Jl. Garuda 79B, Sardonoharjo, Ngaglik, Sleman</span>",5
Hotel di Jogja,,1
Satoria Hotel Yogyakarta,"<span itemprop=""address"">Jl. Laksda Adisucipto Km. 8, Sleman, Yogyakarta, Indonesia</span>",9
Mawar Asri Hotel,"<span itemprop=""address"">Jl. H Agus Salim, No.40, Notoprajan, Ngampilan, Kota Yogyakarta, Indonesia</span>",4
Metro Guest House,"<span itemprop=""address"">Jl. Prawirotaman II Mg III/606, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",2
LPP Convention Hotel,"<span itemprop=""address"">Jl. Demangan Baru No.8, Depok, Yogyakarta, DI Yogyakarta, Indonesia</span>",5
Adhisthana Hotel,"<span itemprop=""address"">Jl. Prawirotaman II No.613, Mergangsan, Yogyakarta, Indonesia</span>",12
Budget Room at Homestay Cahaya Transport 2,"<span itemprop=""address"">Jl. Tohpati No 64 Golo, Pandeyan, Umbulharjo</span>",2
Grage Jogja Hotel Malioboro,"<span itemprop=""address"">Jl. Sosrowijayan No. 242, Malioboro, Yogyakarta, Indonesia</span>",2
Andrea Hotel,"<span itemprop=""address"">Sosrowijan Wetan GT I/140 Gang 2, Sosromenduran, Yogyakarta</span>",4
YATS Colony,"<span itemprop=""address"">Jl. Patangpuluhan No.23, Patangpuluhan, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia</span>",7
