nama_hotel,alamat_hotel,jumlah_kamar
Hotel Dafam Fortuna Malioboro Yogyakarta,"<span itemprop=""address"">Jl.Dagen No.60, Malioboro, Yogyakarta</span>",9
Sunrise Hotel Yogyakarta,"<span itemprop=""address"">Jl. Ring Road Utara, Pandean Gandok No. 56, Condongcatur, Sleman, Yogyakarta, Indonesia</span>",2
RedDoorz near Padang Golf Adisucipto,"<span itemprop=""address"">Jl. Sekarsuli - Berbah, Potorono, Kec. Banguntapan, Bantul, DI Yogyakarta</span>",4
RedDoorz @ Raya Janti Yogyakarta,"<span itemprop=""address"">Jl. Janti No.13, Jaranan, Banguntapan, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta</span>",4
New Hotel Lilik,"<span itemprop=""address"">Jl. Dagen No.16, Malioboro, Yogyakarta, Indonesia</span>",4
Alam Jogja Resort,"<span itemprop=""address"">Jl. Raya Stadion Maguwoharjo No.8, Sleman, Yogyakarta, Indonesia</span>",9
RedDoorz Plus near UPN Jogjakarta 2,"<span itemprop=""address"">Jl. Pandawa, No. 402, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Yogyakarta, Indonesia</span>",8
Hotel di Jogja,,1
RedDoorz near Lempuyangan Train Station,"<span itemprop=""address"">Jl. Bausasran No.2, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166, Indonesia</span>",16
RedDoorz near Pojok Beteng Yogyakarta,"<span itemprop=""address"">Jl. Prawirotaman 3 No.468, Brontokusuman, Kota Gede, Yogyakarta, Indonesia</span>",31
RedDoorz near XT Square Yogyakarta,"<span itemprop=""address"">Jl. Nitikan Baru No.30, Sorosutan, Umbulharjo, Yogyakarta, Indonesia</span>",9
RedDoorz near Jogja Expo Center 2,"<span itemprop=""address"">Jl. Wonocatur No.12, Wonocatur, Banguntapan, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta</span>",5
Sunrise Hotel Jombor,"<span itemprop=""address"">Jl. Magelang KM 6.5, Sinduadi, Jombor Lor, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",2
D'Paragon Cerry,"<span itemprop=""address"">Jl. Sukoharjo (Anggajaya l) Gg. Cherry No. 128C Condong Catur, Depok, Sleman, Yogyakarta, DI Yogyakarta, Indonesia</span>",1
The Grand Palace Hotel Yogyakarta,"<span itemprop=""address"">Jl. Mangkuyudan No.32, Prawirotaman, Yogyakarta, Indonesia</span>",13
RedDoorz Syariah near Sindu Kusuma Edupark,"<span itemprop=""address"">Jl. Jambon Rogoyudan, Sinduadi, Mlati, Sleman, Daerah Istimewa Yogyakarta</span>",7
Liberta Malioboro,"<span itemprop=""address"">Jl. Pringgokusuman No. 17, Gedong Tengen, Malioboro, D.I Yogyakarta, Indonesia</span>",27
RedDoorz @ Rejowinangun Kotagede 2,"<span itemprop=""address"">Jl. Rejowinangun No.1, Rejowinangun, Kec. Kotagede, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",6
Laxston Hotel Jogja,"<span itemprop=""address"">Jl. Magelang No.31, Yogyakarta, Indonesia</span>",2
RedDoorz near XT Square 2,"<span itemprop=""address"">Jl. Veteran No. 143, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, DI Yogyakarta, Indonesia</span>",29
Griya Desa Hotel & Pool,"<span itemprop=""address"">Jl.Padma No.1A, Belakang Hotel Hyatt, Yogyakarta</span>",9
RedDoorz near Babarsari 2,"<span itemprop=""address"">Jl. Utama Pugeran Gang Garuda RT 09 RW 11 No. 18A, RT RW 65, Karangnongko, Maguwoharjo, Depok, Sleman, Yogyakarta Seturan, Yogyakarta, Indonesia</span>",9
Arte Hotel Malioboro Yogyakarta,"<span itemprop=""address"">Jl. Pasar Kembang No.53, Malioboro Street, Yogyakarta, Yogyakarta Province, Indonesia</span>",6
RedDoorz @ Jalan Wonosari KM.9,"<span itemprop=""address"">Jalan Wonosari No.Km 9 No 88, Kalangan, Baturetno, Kec. Banguntapan, Bantul, DI Yogyakarta</span>",10
RedDoorz Plus near Lempuyangan Station 4,"<span itemprop=""address"">Jl. Teratai No.19, Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",13
RedDoorz near Adisucipto Airport 3,"<span itemprop=""address"">Jl. Candi Sambisari No.88, Purwomartani, Kalasan, Yogyakarta, Indonesia</span>",9
D'Paragon Pogung B,"<span itemprop=""address"">Gg. Dandang Gulo, Pogung Kidul, Sinduadi, Kec. Mlati, Kab. Sleman, Yogyakarta, Indonesia</span>",3
RedDoorz @ Palagan 3,"<span itemprop=""address"">Tegalwaras No. 71, Sleman, Yogyakarta, DI Yogyakarta, Indonesia</span>",10
RedDoorz @ Demangan Sari Residence,"<span itemprop=""address"">Jl. Petung No.33, Demangan Baru, Caturtunggal, Kec. Depok, Kab. Sleman, DI Yogyakarta, Indonesia</span>",6
Malioboro Inn Hotel,"<span itemprop=""address"">Jl Sosrowijayan No 23-25, Yogyakarta</span>",5
RedDoorz Plus Syariah @ Monginsidi Guest House,"<span itemprop=""address"">Jl. R.W. Monginsidi No.7, Cokrodiningratan, Jetis, Yogyakarta, Indonesia</span>",13
Lafayette Boutique Hotel,"<span itemprop=""address"">Jl. Ring Road Utara No.409, Catur Manunggal, Sleman, Yogyakarta, Indonesia</span>",7
RedDoorz near Terminal A Adisucipto Airport,"<span itemprop=""address"">Jl. Kadirejo 1 RT.07 RW.02 Purwomartani Kalasan Sleman, DI Yogyakarta, Indonesia</span>",9
D'Paragon Seturan 2,"<span itemprop=""address"">Jl. Raya Seturan No. 20, Ngropoh, Condongcatur, Depok, Sleman, Yogyakarta</span>",3
RedDoorz @ Jalan Palagan,"<span itemprop=""address"">Jl. Tegal Melati No.44B RT.02 RW.35 Sariharjo, Ngaglik, Sleman, Yogyakarta, Indonesia</span>",9
RedDoorz Plus @ Timoho,"<span itemprop=""address"">Jl. Ipda Tut Harsono no 3A Timoho, Umbulharjo, Yogyakarta, Indonesia</span>",24
